id,X_3857,Y_3857
1,-5170545.698,-2709342.098
2,-5169633.762,-2709200.633
3,-5169127.84,-2708306.89
4,-5168805.014,-2707544.315
5,-5167706.438,-2709203.501
6,-5167161.672,-2707744.773
7,-5166803.438,-2707530.52
8,-5166880.66,-2706876.203
9,-5165650.695,-2706824.113
10,-5165163.691,-2706030.453
11,-5176777.244,-2705846.808
12,-5169577.334,-2703128.932
13,-5168707.284,-2703365.114
14,-5170752.597,-2703298.466
15,-5170933.193,-2702960.102
16,-5171773.932,-2702588.117
100,-5174179.118,-2705973.969
101,-5170345.472,-2706769.43
103,-5172328.897,-2707501.105
104,-5172981.917,-2705954.267
105,-5173566.143,-2705393.849
106,-5174114.975,-2704914.365
107,-5176253.092,-2705849.755
108,-5178275.273,-2703863.738
109,-5173076.712,-2702438.639
110,-5173588.041,-2701728.737
111,-5174514.621,-2701039.557
112,-5175748.654,-2701423.585
115,-5173333.496,-2703059.866
116,-5172956.788,-2703167.369
117,-5172545.976,-2703316.783
119,-5167363.853,-2705173.779
120,-5168173.475,-2707160.918
121,-5168434.128,-2706356.827
122,-5167615.052,-2705735.607
123,-5168764.065,-2705792.143
123,-5169253.475,-2705527.821
124,-5167799.973,-2704966.76
125,-5168852.479,-2706913
126,-5169219.583,-2706256.089
125,-5170852.08,-2704647.432
127,-5171784.53,-2707592.618
128,-5172272.236,-2705998.551
129,-5170750.308,-2705479.736
130,-5175351.283,-2706012.098
